InvoiceNo,StockCode,Description,Category,Quantity,UnitPrice,Revenue,InvoiceDate,CustomerID,Country
507186,21080,SET/20 RED SPOTTY PAPER NAPKINS,Kitchen & Dining,12,0.85,10.2,2010-05-06 16:02:00,13891,United Kingdom
507186,21796,SET OF 3 RED STRIPE BASKETS,Bags & Storage,1,12.75,12.75,2010-05-06 16:02:00,13891,United Kingdom
507186,22478,BIRDHOUSE GARDEN MARKER,Garden & Outdoor,10,1.25,12.5,2010-05-06 16:02:00,13891,United Kingdom
507193,22624,IVORY KITCHEN SCALES,Kitchen & Dining,2,8.5,17.0,2010-05-06 16:21:00,16843,United Kingdom
507194,84970S,HANGING HEART ZINC T-LIGHT HOLDER,Lighting & Candles,24,0.85,20.4,2010-05-06 16:21:00,16108,United Kingdom
507210,85049E,SCANDINAVIAN REDS RIBBONS,Other Homeware,4,1.25,5.0,2010-05-06 17:22:00,14156,EIRE
507210,22242,"HOOK, 5 HANGER , MAGIC TOADSTOOL",Other Homeware,12,1.65,19.799999999999997,2010-05-06 17:22:00,14156,EIRE
507210,20685,DOOR MAT RED SPOT,Other Homeware,4,7.49,29.96,2010-05-06 17:22:00,14156,EIRE
507213,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,Other Homeware,10,1.95,19.5,2010-05-06 17:55:00,13974,United Kingdom
507216,22180,RETRO SPOT LAMP,Lighting & Candles,6,9.95,59.699999999999996,2010-05-06 18:01:00,16126,United Kingdom
507223,21440,12 MINI TOADSTOOL PEGS,Other Homeware,2,1.25,2.5,2010-05-06 19:29:00,17323,United Kingdom
507229,21212,PACK OF 72 RETRO SPOT CAKE CASES,Kitchen & Dining,2,0.55,1.1,2010-05-06 20:01:00,17530,United Kingdom
507232,22302,COFFEE MUG PEARS  DESIGN,Kitchen & Dining,6,2.55,15.299999999999999,2010-05-07 08:49:00,15290,United Kingdom
507233,85060,WOOD FAN WITH FLOWER DESIGN,Home Decor,24,1.25,30.0,2010-05-07 08:50:00,14316,United Kingdom
507233,15036,ASSORTED COLOURS SILK FAN,Other Homeware,24,0.75,18.0,2010-05-07 08:50:00,14316,United Kingdom
507235,22525,CHILDRENS GARDEN GLOVES PINK,Garden & Outdoor,24,1.06,25.44,2010-05-07 09:04:00,14298,United Kingdom
507235,17109D,FLOWER FAIRY INCENSE BOUQUET,Garden & Outdoor,36,0.38,13.68,2010-05-07 09:04:00,14298,United Kingdom
507250,20738,GREEN MINI TAPE MEASURE,Other Homeware,50,0.85,42.5,2010-05-07 11:26:00,16013,United Kingdom
507256,22437,SET OF 9 BLACK SKULL BALLOONS,Toys & Children,1,0.85,0.85,2010-05-07 11:42:00,17798,United Kingdom
507256,21395,BLUE SPOTTY BEAKER,Other Homeware,2,1.95,3.9,2010-05-07 11:42:00,17798,United Kingdom
507258,22109,FULL ENGLISH BREAKFAST PLATE,Kitchen & Dining,8,3.75,30.0,2010-05-07 12:09:00,15382,United Kingdom
507259,22083,PAPER CHAIN KIT RETRO SPOT,Stationery & Paper,30,2.95,88.5,2010-05-07 12:11:00,15738,United Kingdom
507261,22379,RECYCLING BAG RETROSPOT,Bags & Storage,6,2.1,12.600000000000001,2010-05-07 12:20:00,12872,United Kingdom
507286,22064,PINK DOUGHNUT TRINKET POT,Other Homeware,48,1.45,69.6,2010-05-07 13:57:00,13798,United Kingdom
507288,22421,LIPSTICK PEN FUSCHIA,Stationery & Paper,3,0.42,1.26,2010-05-07 13:58:00,17609,United Kingdom
507289,85059,FRENCH ENAMEL WATER BASIN,Other Homeware,1,3.75,3.75,2010-05-07 14:02:00,14535,United Kingdom
507289,22410,MONEY BOX HOUSEKEEPING DESIGN,Home Decor,1,1.25,1.25,2010-05-07 14:02:00,14535,United Kingdom
507289,22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,Other Homeware,1,1.25,1.25,2010-05-07 14:02:00,14535,United Kingdom
507289,21755,LOVE BUILDING BLOCK WORD,Other Homeware,1,5.95,5.95,2010-05-07 14:02:00,14535,United Kingdom
507290,22435,SET OF 9 HEART SHAPED BALLOONS,Home Decor,2,1.25,2.5,2010-05-07 14:10:00,14814,United Kingdom
507290,15056BL,EDWARDIAN PARASOL BLACK,Garden & Outdoor,1,5.95,5.95,2010-05-07 14:10:00,14814,United Kingdom
507292,21986,PACK OF 12 PINK SPOT TISSUES,Other Homeware,3,0.81,2.43,2010-05-07 14:28:00,,United Kingdom
507295,21880,RED AND WHITE SPOT TAPE,Other Homeware,12,0.65,7.800000000000001,2010-05-07 14:37:00,18254,United Kingdom
507297,21936,RED RETROSPOT PICNIC BAG,Bags & Storage,5,2.95,14.75,2010-05-07 14:44:00,13313,United Kingdom
507364,47574A,ENGLISH ROSE SCENTED HANGING FLOWER,Home Decor,1,4.25,4.25,2010-05-07 16:26:00,17808,United Kingdom
507367,20718,RED SPOTTY SHOPPER BAG,Bags & Storage,10,1.25,12.5,2010-05-07 16:46:00,16632,United Kingdom
507369,21844,RED RETROSPOT MUG,Kitchen & Dining,6,2.95,17.700000000000003,2010-05-07 17:49:00,17400,United Kingdom
507369,22026,BANQUET BIRTHDAY  CARD,Stationery & Paper,12,0.42,5.04,2010-05-07 17:49:00,17400,United Kingdom
507369,22361,GLASS JAR DAISY FRESH COTTON WOOL,Bags & Storage,2,2.95,5.9,2010-05-07 17:49:00,17400,United Kingdom
507369,20702,PINK PADDED MOBILE,Other Homeware,2,4.25,8.5,2010-05-07 17:49:00,17400,United Kingdom
507370,22485,SET OF 2 WOODEN MARKET CRATES,Other Homeware,2,12.75,25.5,2010-05-09 10:38:00,13007,United Kingdom
507372,48194,DOOR MAT HEARTS,Home Decor,3,7.49,22.47,2010-05-09 10:44:00,13634,United Kingdom
507376,81950B,FLOWER BLUE CLOCK W/SUCKER,Home Decor,2,0.85,1.7,2010-05-09 11:29:00,13979,United Kingdom
507376,21975,PACK OF 60 DINOSAUR CAKE CASES,Kitchen & Dining,1,0.55,0.55,2010-05-09 11:29:00,13979,United Kingdom
507377,22621,TRADITIONAL KNITTING NANCY,Bags & Storage,4,1.45,5.8,2010-05-09 11:35:00,13571,United Kingdom
507377,21905,MORE BUTTER METAL SIGN,Home Decor,2,2.1,4.2,2010-05-09 11:35:00,13571,United Kingdom
507378,84879,ASSORTED COLOUR BIRD ORNAMENT,Home Decor,8,1.69,13.52,2010-05-09 11:38:00,13117,United Kingdom
507379,85150,LADIES & GENTLEMEN METAL SIGN,Home Decor,6,2.55,15.299999999999999,2010-05-09 11:39:00,14916,United Kingdom
507380,48189,DOOR MAT FRIENDSHIP,Other Homeware,1,7.49,7.49,2010-05-09 11:40:00,13838,United Kingdom
507380,21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",Kitchen & Dining,1,6.75,6.75,2010-05-09 11:40:00,13838,United Kingdom
507387,72780,BLACK SILOUETTE CANDLE PLATE,Kitchen & Dining,4,0.85,3.4,2010-05-09 12:10:00,17137,United Kingdom
507387,72598,SET/12 TAPER CANDLES,Lighting & Candles,1,0.85,0.85,2010-05-09 12:10:00,17137,United Kingdom
507389,21924,BLUE/CREAM STRIPE FRINGE HAMMOCK,Jewellery & Accessories,2,7.95,15.9,2010-05-09 12:14:00,17969,United Kingdom
507391,21391,FRENCH EMROIDR LAVENDER SCENT HEART,Home Decor,3,2.1,6.300000000000001,2010-05-09 12:30:00,14044,United Kingdom
507391,47591B,SCOTTIES DES CHILD'S APRON,Toys & Children,1,1.65,1.65,2010-05-09 12:30:00,14044,United Kingdom
507393,47597,NEW ENGLAND TEATOWELS,Other Homeware,12,2.55,30.599999999999998,2010-05-09 12:49:00,14911,EIRE
507393,84678,CLASSICAL ROSE SMALL VASE,Home Decor,6,2.55,15.299999999999999,2010-05-09 12:49:00,14911,EIRE
507398,22622,BOX OF VINTAGE ALPHABET BLOCKS,Bags & Storage,3,9.95,29.849999999999998,2010-05-09 13:15:00,17913,United Kingdom
507399,85162A,SILVER RETRODISC LAMPSHADE,Lighting & Candles,72,1.95,140.4,2010-05-09 13:25:00,13802,United Kingdom
507401,17033,"BROCADE PURSE,SMALL ARCH BUTTON",Jewellery & Accessories,36,0.29,10.44,2010-05-09 13:38:00,15555,United Kingdom
507401,22558,CLOTHES PEGS RETROSPOT PACK 24,Other Homeware,3,1.25,3.75,2010-05-09 13:38:00,15555,United Kingdom
507403,21754,HOME BUILDING BLOCK WORD,Other Homeware,1,5.95,5.95,2010-05-09 13:41:00,14606,United Kingdom
507414,21866,UNION JACK FLAG LUGGAGE TAG,Other Homeware,12,1.25,15.0,2010-05-09 14:14:00,14107,United Kingdom
507414,22561,WOODEN SCHOOL COLOURING SET,Jewellery & Accessories,12,1.65,19.799999999999997,2010-05-09 14:14:00,14107,United Kingdom
507417,22436,12 COLOURED PARTY BALLOONS,Toys & Children,20,0.65,13.0,2010-05-09 14:35:00,13425,United Kingdom
507417,84836,ZINC METAL HEART DECORATION,Home Decor,12,1.25,15.0,2010-05-09 14:35:00,13425,United Kingdom
507417,85049F,BABY BOOM RIBBONS,Other Homeware,12,1.25,15.0,2010-05-09 14:35:00,13425,United Kingdom
507419,21203,BUTTERFLIES  HONEYCOMB GARLAND,Party & Celebration,12,1.65,19.799999999999997,2010-05-09 14:54:00,14129,United Kingdom
507420,21918,SET 12 KIDS COLOUR  CHALK STICKS,Stationery & Paper,1,0.42,0.42,2010-05-09 15:06:00,12748,United Kingdom
507420,21638,ASSORTED TUTTI FRUTTI NOTEBOOK,Stationery & Paper,1,2.1,2.1,2010-05-09 15:06:00,12748,United Kingdom
507421,22558,CLOTHES PEGS RETROSPOT PACK 24,Other Homeware,1,1.25,1.25,2010-05-09 15:07:00,12748,United Kingdom
507421,47590B,PINK HAPPY BIRTHDAY BUNTING,Bags & Storage,2,5.45,10.9,2010-05-09 15:07:00,12748,United Kingdom
507421,84992,72 SWEETHEART FAIRY CAKE CASES,Kitchen & Dining,1,0.55,0.55,2010-05-09 15:07:00,12748,United Kingdom
507422,21980,PACK OF 12 RED SPOTTY TISSUES,Other Homeware,48,0.29,13.919999999999998,2010-05-09 15:18:00,13952,United Kingdom
507424,48138,DOOR MAT UNION FLAG,Other Homeware,10,6.35,63.5,2010-05-09 15:22:00,12748,United Kingdom
507424,15058A,BLUE WHITE SPOTS GARDEN PARASOL,Garden & Outdoor,14,3.95,55.300000000000004,2010-05-09 15:22:00,12748,United Kingdom
507427,21211,SET OF 72 SKULL PAPER  DOILIES,Stationery & Paper,1,1.45,1.45,2010-05-09 15:38:00,13211,United Kingdom
507430,22058,CERAMIC LOVE HEARTS DESIGN MUG,Kitchen & Dining,2,1.49,2.98,2010-05-09 16:03:00,17135,United Kingdom
507445,21198,WHITE HEART CONFETTI IN TUBE,Home Decor,12,1.65,19.799999999999997,2010-05-10 09:38:00,14329,United Kingdom
507445,21754,HOME BUILDING BLOCK WORD,Other Homeware,3,5.95,17.85,2010-05-10 09:38:00,14329,United Kingdom
507448,22282,12 EGG HOUSE PAINTED WOOD,Other Homeware,1,25.49,25.49,2010-05-10 09:55:00,,United Kingdom
507453,22089,PAPER BUNTING VINTAGE PAISLEY,Bags & Storage,6,2.95,17.700000000000003,2010-05-10 10:11:00,15674,United Kingdom
507459,21078,SET/20 STRAWBERRY PAPER NAPKINS,Kitchen & Dining,2,0.85,1.7,2010-05-10 10:41:00,15031,United Kingdom
507464,21875,KINGS CHOICE MUG,Kitchen & Dining,396,0.85,336.59999999999997,2010-05-10 11:00:00,18102,United Kingdom
507479,21877,HOME SWEET HOME MUG,Kitchen & Dining,12,1.25,15.0,2010-05-10 11:33:00,15298,United Kingdom
507481,82605,OLD DOC RUSSEL METAL SIGN,Home Decor,12,2.1,25.200000000000003,2010-05-10 11:40:00,13013,United Kingdom
507485,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,Bags & Storage,4,3.75,15.0,2010-05-10 11:55:00,17365,United Kingdom
507510,48185,DOOR MAT FAIRY CAKE,Kitchen & Dining,10,6.35,63.5,2010-05-10 12:12:00,13426,United Kingdom
507510,21497,FANCY FONTS BIRTHDAY WRAP,Stationery & Paper,25,0.42,10.5,2010-05-10 12:12:00,13426,United Kingdom
507560,85227,SET OF 6 3D KIT CARDS FOR KIDS,Stationery & Paper,24,0.85,20.4,2010-05-10 12:29:00,14361,United Kingdom
507604,21612,SET 12 WILDFLOWER BOTANICAL T-LIGHT,Lighting & Candles,1,5.91,5.91,2010-05-10 13:43:00,,United Kingdom
507604,20866,BLUE ROSE FABRIC MIRROR,Home Decor,1,2.51,2.51,2010-05-10 13:43:00,,United Kingdom
507608,22433,WATERING CAN GREEN DINOSAUR,Garden & Outdoor,6,1.95,11.7,2010-05-10 13:51:00,15141,United Kingdom
507614,85049C,ROMANTIC PINKS RIBBONS,Other Homeware,12,1.25,15.0,2010-05-10 14:07:00,17552,United Kingdom
507615,22535,MAGIC SLATE BUNNIES AT HOME,Other Homeware,48,0.42,20.16,2010-05-10 14:08:00,17552,United Kingdom
507620,35961,FOLKART ZINC HEART CHRISTMAS DEC,Christmas & Seasonal,120,0.85,102.0,2010-05-10 14:19:00,12813,Netherlands
507622,22483,RED GINGHAM TEDDY BEAR,Other Homeware,2,2.95,5.9,2010-05-10 14:28:00,17579,United Kingdom
507624,21615,4 LAVENDER BOTANICAL DINNER CANDLES,Lighting & Candles,6,3.75,22.5,2010-05-10 14:34:00,16873,United Kingdom
507634,84686,BEACH HUT MIRROR,Home Decor,16,1.65,26.4,2010-05-10 14:47:00,14298,United Kingdom
507634,84689,S/2 BEACH HUT TREASURE CHESTS,Other Homeware,12,1.65,19.799999999999997,2010-05-10 14:47:00,14298,United Kingdom
507635,21928,JUMBO BAG SCANDINAVIAN PAISLEY,Bags & Storage,10,1.95,19.5,2010-05-10 14:50:00,17612,United Kingdom
507635,15058A,BLUE WHITE SPOTS GARDEN PARASOL,Garden & Outdoor,10,3.95,39.5,2010-05-10 14:50:00,17612,United Kingdom
507639,22383,LUNCH BAG SUKI  DESIGN,Bags & Storage,10,1.65,16.5,2010-05-10 14:57:00,13319,United Kingdom
507660,84843,WHITE SOAP RACK WITH 2 BOTTLES,Kitchen & Dining,2,5.95,11.9,2010-05-10 16:44:00,12675,Italy
507660,22285,"DECORATION HEN ON NEST, HANGING",Home Decor,3,1.65,4.949999999999999,2010-05-10 16:44:00,12675,Italy
507664,22082,RIBBON REEL STRIPES DESIGN,Home Decor,10,1.65,16.5,2010-05-10 17:03:00,17871,United Kingdom
507667,22026,BANQUET BIRTHDAY  CARD,Stationery & Paper,12,0.42,5.04,2010-05-10 17:21:00,12867,United Kingdom
507667,22150,3 STRIPEY MICE FELTCRAFT,Other Homeware,3,1.95,5.85,2010-05-10 17:21:00,12867,United Kingdom
507667,21439,BASKET OF TOADSTOOLS,Bags & Storage,3,1.25,3.75,2010-05-10 17:21:00,12867,United Kingdom
507667,22531,MAGIC DRAWING SLATE CIRCUS PARADE,Other Homeware,6,0.42,2.52,2010-05-10 17:21:00,12867,United Kingdom
507673,47591D,PINK FAIRY CAKE CHILD'S APRON,Kitchen & Dining,8,1.95,15.6,2010-05-11 09:29:00,14911,EIRE
507673,48187,DOOR MAT NEW ENGLAND,Other Homeware,2,7.49,14.98,2010-05-11 09:29:00,14911,EIRE
507673,48184,DOOR MAT ENGLISH ROSE,Other Homeware,2,7.49,14.98,2010-05-11 09:29:00,14911,EIRE
507692,22180,RETRO SPOT LAMP,Lighting & Candles,2,9.95,19.9,2010-05-11 10:20:00,12600,Germany
507697,22437,SET OF 9 BLACK SKULL BALLOONS,Toys & Children,20,0.85,17.0,2010-05-11 10:42:00,12599,France
507700,20717,STRAWBERRY SHOPPER BAG,Bags & Storage,10,1.25,12.5,2010-05-11 10:50:00,16945,United Kingdom
507701,21651,HANGING GLASS ETCHED TEALIGHT,Lighting & Candles,12,1.65,19.799999999999997,2010-05-11 10:56:00,17388,United Kingdom
507703,47556B,TEA TIME TEA TOWELS,Other Homeware,2,2.95,5.9,2010-05-11 11:01:00,17377,United Kingdom
507712,21165,BEWARE OF THE CAT METAL SIGN,Home Decor,1,4.21,4.21,2010-05-11 11:29:00,,United Kingdom
507712,84839,SWEETHEART KEY CABINET,Home Decor,1,12.72,12.72,2010-05-11 11:29:00,,United Kingdom
507712,21637,ASSORTED SANSKRIT MINI NOTEBOOK,Stationery & Paper,1,2.51,2.51,2010-05-11 11:29:00,,United Kingdom
507711,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,Home Decor,96,0.21,20.16,2010-05-11 11:29:00,,United Kingdom
507712,20718,RED SPOTTY SHOPPER BAG,Bags & Storage,2,2.51,5.02,2010-05-11 11:29:00,,United Kingdom
507710,20981,12 PENCILS TALL TUBE WOODLAND,Stationery & Paper,6,0.85,5.1,2010-05-11 11:29:00,13206,United Kingdom
507713,15056N,EDWARDIAN PARASOL NATURAL,Garden & Outdoor,3,5.95,17.85,2010-05-11 11:30:00,13943,United Kingdom
507715,20725,LUNCH BAG RED SPOTTY,Bags & Storage,100,1.45,145.0,2010-05-11 11:47:00,13881,United Kingdom
507735,22521,CHILDS GARDEN TROWEL PINK,Garden & Outdoor,1,0.85,0.85,2010-05-11 12:10:00,17321,United Kingdom
507750,21894,POTTING SHED SEED ENVELOPES,Bags & Storage,4,1.25,5.0,2010-05-11 12:18:00,16419,United Kingdom
507768,22494,EMERGENCY FIRST AID TIN,Bags & Storage,12,1.25,15.0,2010-05-11 12:23:00,16525,United Kingdom
507819,22624,IVORY KITCHEN SCALES,Kitchen & Dining,2,8.5,17.0,2010-05-11 13:06:00,14344,United Kingdom
507837,90167,BEADED LOVE HEART JEWELLERY SET,Home Decor,24,0.85,20.4,2010-05-11 13:29:00,15358,United Kingdom
507838,22029,SPACEBOY BIRTHDAY CARD,Stationery & Paper,12,0.42,5.04,2010-05-11 13:30:00,15034,United Kingdom
507838,71459,HANGING JAM JAR T-LIGHT HOLDER,Bags & Storage,12,0.85,10.2,2010-05-11 13:30:00,15034,United Kingdom
507840,21868,POTTING SHED TEA MUG,Bags & Storage,12,1.25,15.0,2010-05-11 13:38:00,16487,United Kingdom
507843,21653,GLASS ETCHED T-LIGHT HOLDER LARGE,Lighting & Candles,12,2.1,25.200000000000003,2010-05-11 13:51:00,15149,United Kingdom
507845,85034B,3 WHITE CHOC MORRIS BOXED CANDLES,Lighting & Candles,24,3.81,91.44,2010-05-11 14:00:00,15497,United Kingdom
507879,21650,ASSORTED TUTTI FRUTTI BRACELET,Jewellery & Accessories,14,0.65,9.1,2010-05-11 15:03:00,16805,United Kingdom
507879,22553,PLASTERS IN TIN SKULLS,Bags & Storage,3,1.65,4.949999999999999,2010-05-11 15:03:00,16805,United Kingdom
507881,84797A,PINK HAWAIIAN PICNIC HAMPER FOR 4,Other Homeware,1,11.02,11.02,2010-05-11 15:08:00,,United Kingdom
507881,21002,ROSE DU SUD DRAWSTRING BAG,Bags & Storage,1,3.36,3.36,2010-05-11 15:08:00,,United Kingdom
507881,47591C,BLUE FAIRY CAKE CHILD'S APRON,Kitchen & Dining,3,1.95,5.85,2010-05-11 15:08:00,,United Kingdom
507881,90013B,BLACK VINTAGE EARRINGS,Jewellery & Accessories,1,4.24,4.24,2010-05-11 15:08:00,,United Kingdom
507883,21623,VINTAGE UNION JACK MEMOBOARD,Other Homeware,4,9.95,39.8,2010-05-11 15:31:00,15696,United Kingdom
507883,21733,RED HANGING HEART T-LIGHT HOLDER,Lighting & Candles,6,2.95,17.700000000000003,2010-05-11 15:31:00,15696,United Kingdom
507888,22621,TRADITIONAL KNITTING NANCY,Bags & Storage,12,1.45,17.4,2010-05-11 16:26:00,13004,United Kingdom
507889,72801C,S/4 ROSE PINK DINNER CANDLES,Lighting & Candles,2,1.25,2.5,2010-05-11 16:35:00,15862,United Kingdom
507920,21078,SET/20 STRAWBERRY PAPER NAPKINS,Kitchen & Dining,12,0.85,10.2,2010-05-12 09:39:00,13740,United Kingdom
507920,84251F,"GREETING CARD, RITA",Bags & Storage,12,0.19,2.2800000000000002,2010-05-12 09:39:00,13740,United Kingdom
507923,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,Home Decor,4,6.75,27.0,2010-05-12 09:51:00,17364,United Kingdom
507923,22491,PACK OF 12 COLOURED PENCILS,Stationery & Paper,12,0.85,10.2,2010-05-12 09:51:00,17364,United Kingdom
507999,21882,SKULLS TAPE,Other Homeware,12,0.65,7.800000000000001,2010-05-12 11:45:00,12580,Germany
508038,21641,ASSORTED TUTTI FRUTTI KEYRING BALL,Jewellery & Accessories,24,0.85,20.4,2010-05-12 12:17:00,14854,United Kingdom
508045,20718,RED SPOTTY SHOPPER BAG,Bags & Storage,10,1.25,12.5,2010-05-12 12:26:00,14680,United Kingdom
508048,22626,BLACK KITCHEN SCALES,Kitchen & Dining,1,8.5,8.5,2010-05-12 12:32:00,17016,United Kingdom
508054,21465,PINK FLOWER CROCHET FOOD COVER,Garden & Outdoor,1,3.75,3.75,2010-05-12 13:12:00,17845,United Kingdom
508059,21507,"ELEPHANT, BIRTHDAY CARD,",Stationery & Paper,12,0.42,5.04,2010-05-12 13:29:00,13141,United Kingdom
508060,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,Other Homeware,2,8.5,17.0,2010-05-12 13:43:00,13052,United Kingdom
508070,20665,RED SPOTTY PURSE,Jewellery & Accessories,6,2.95,17.700000000000003,2010-05-12 15:02:00,13632,United Kingdom
508077,84686,BEACH HUT MIRROR,Home Decor,1,8.47,8.47,2010-05-12 16:29:00,,United Kingdom
508077,20658,RED SPOTTY LUGGAGE TAG,Other Homeware,2,2.51,5.02,2010-05-12 16:29:00,,United Kingdom
508077,22533,MAGIC DRAWING SLATE BAKE A CAKE,Kitchen & Dining,1,0.85,0.85,2010-05-12 16:29:00,,United Kingdom
508077,85165,CANDY PINK FRENCH BOUDOIR CLOCK,Home Decor,1,8.47,8.47,2010-05-12 16:29:00,,United Kingdom
508097,22090,PAPER BUNTING RETRO SPOTS,Bags & Storage,12,2.95,35.400000000000006,2010-05-13 09:33:00,12683,France
508105,79337,BLUE FLOCK GLASS CANDLEHOLDER,Lighting & Candles,48,0.38,18.240000000000002,2010-05-13 10:32:00,13892,United Kingdom
508106,22271,FELTCRAFT DOLL ROSIE,Toys & Children,6,2.95,17.700000000000003,2010-05-13 10:35:00,13220,United Kingdom
508108,21498,RED SPOTS  WRAP,Stationery & Paper,25,0.42,10.5,2010-05-13 10:42:00,15064,United Kingdom
508147,21481,FAWN BLUE HOT WATER BOTTLE,Kitchen & Dining,36,2.55,91.8,2010-05-13 11:26:00,18092,United Kingdom
508173,47590A,BLUE HAPPY BIRTHDAY BUNTING,Bags & Storage,1,5.45,5.45,2010-05-13 11:57:00,13888,United Kingdom
508173,21272,SALLE DE BAIN HOOK,Other Homeware,6,1.25,7.5,2010-05-13 11:57:00,13888,United Kingdom
508175,84987,SET OF 36 TEATIME PAPER DOILIES,Stationery & Paper,6,1.45,8.7,2010-05-13 11:58:00,14714,United Kingdom
508175,22067,CHOC TRUFFLE GOLD TRINKET POT,Other Homeware,10,1.65,16.5,2010-05-13 11:58:00,14714,United Kingdom
508175,21911,GARDEN METAL SIGN,Home Decor,2,1.65,3.3,2010-05-13 11:58:00,14714,United Kingdom
508178,22093,MOTORING TISSUE BOX,Jewellery & Accessories,15,1.25,18.75,2010-05-13 12:07:00,13878,United Kingdom
508182,47566,PARTY BUNTING,Bags & Storage,12,4.65,55.800000000000004,2010-05-13 12:38:00,13767,United Kingdom
508192,82484,WOOD BLACK BOARD ANT WHITE FINISH,Other Homeware,12,5.55,66.6,2010-05-13 13:21:00,14047,United Kingdom
508201,48185,DOOR MAT FAIRY CAKE,Kitchen & Dining,1,7.49,7.49,2010-05-13 14:08:00,12835,United Kingdom
508203,22352,LUNCH BOX WITH CUTLERY RETROSPOT,Bags & Storage,12,2.55,30.599999999999998,2010-05-13 14:31:00,16807,United Kingdom
508213,22483,RED GINGHAM TEDDY BEAR,Other Homeware,1,2.95,2.95,2010-05-13 14:47:00,12894,United Kingdom
508214,21756,BATH BUILDING BLOCK WORD,Other Homeware,2,5.95,11.9,2010-05-13 14:51:00,15768,United Kingdom
508214,82486,WOOD S/3 CABINET ANT WHITE FINISH,Other Homeware,2,7.95,15.9,2010-05-13 14:51:00,15768,United Kingdom
508228,20966,SANDWICH BATH SPONGE,Other Homeware,1,2.51,2.51,2010-05-13 16:49:00,,United Kingdom
508228,22360,GLASS JAR ENGLISH CONFECTIONERY,Bags & Storage,2,5.91,11.82,2010-05-13 16:49:00,,United Kingdom
508228,84913B,MINT GREEN ROSE TOWEL,Other Homeware,1,3.36,3.36,2010-05-13 16:49:00,,United Kingdom
508228,22445,PENCIL CASE LIFE IS BEAUTIFUL,Stationery & Paper,1,5.91,5.91,2010-05-13 16:49:00,,United Kingdom
508237,22312,OFFICE MUG WARMER POLKADOT,Kitchen & Dining,1,4.95,4.95,2010-05-13 19:27:00,17965,United Kingdom
508251,22271,FELTCRAFT DOLL ROSIE,Toys & Children,12,2.95,35.400000000000006,2010-05-14 10:40:00,13157,United Kingdom
508251,22129,PARTY CONES CANDY TREE DECORATION,Home Decor,24,0.85,20.4,2010-05-14 10:40:00,13157,United Kingdom
508251,22434,BALLOON PUMP WITH 10 BALLOONS,Toys & Children,16,1.95,31.2,2010-05-14 10:40:00,13157,United Kingdom
508251,22533,MAGIC DRAWING SLATE BAKE A CAKE,Kitchen & Dining,48,0.42,20.16,2010-05-14 10:40:00,13157,United Kingdom
508253,22353,LUNCH BOX WITH CUTLERY FAIRY CAKES,Bags & Storage,6,2.55,15.299999999999999,2010-05-14 10:50:00,13576,United Kingdom
508311,82599,FANNY'S REST STOPMETAL SIGN,Home Decor,12,2.1,25.200000000000003,2010-05-14 11:13:00,15218,United Kingdom
508332,21539,RED RETROSPOT BUTTER DISH,Other Homeware,1,4.95,4.95,2010-05-14 11:59:00,16115,United Kingdom
508378,17003,BROCADE RING PURSE,Jewellery & Accessories,1440,0.16,230.4,2010-05-14 13:51:00,17414,United Kingdom
508379,21527,RED RETROSPOT TRADITIONAL TEAPOT,Kitchen & Dining,2,7.95,15.9,2010-05-14 13:59:00,17113,United Kingdom
508401,22498,WOODEN REGATTA BUNTING,Bags & Storage,2,5.95,11.9,2010-05-14 15:37:00,15972,United Kingdom
508451,22109,FULL ENGLISH BREAKFAST PLATE,Kitchen & Dining,1,7.62,7.62,2010-05-14 16:33:00,,United Kingdom
508451,21068,VINTAGE BILLBOARD LOVE/HATE MUG,Kitchen & Dining,1,2.51,2.51,2010-05-14 16:33:00,,United Kingdom
508451,22273,FELTCRAFT DOLL MOLLY,Toys & Children,1,5.91,5.91,2010-05-14 16:33:00,,United Kingdom
508451,21323,HANGING MEDINA LANTERN LARGE,Lighting & Candles,1,8.47,8.47,2010-05-14 16:33:00,,United Kingdom
508461,22461,SAVOY ART DECO CLOCK,Home Decor,1,12.75,12.75,2010-05-16 10:15:00,17243,United Kingdom
508463,21791,VINTAGE HEADS AND TAILS CARD GAME,Stationery & Paper,1,1.25,1.25,2010-05-16 10:29:00,13259,United Kingdom
508464,21527,RED RETROSPOT TRADITIONAL TEAPOT,Kitchen & Dining,2,7.95,15.9,2010-05-16 10:37:00,17581,United Kingdom
508470,21902,"KEY FOB , FRONT  DOOR",Other Homeware,2,0.65,1.3,2010-05-16 11:24:00,16922,United Kingdom
508470,21895,POTTING SHED SOW 'N' GROW SET,Bags & Storage,2,4.25,8.5,2010-05-16 11:24:00,16922,United Kingdom
508470,20702,PINK PADDED MOBILE,Other Homeware,1,4.25,4.25,2010-05-16 11:24:00,16922,United Kingdom
508474,21495,SKULLS WRAP,Stationery & Paper,25,0.42,10.5,2010-05-16 11:52:00,17123,United Kingdom
